AAPL R735QTJ8XC9X,AAPL,20200930,3328,9706153389,1119961216927,325799391,312302433,649898,6180139875,641098575,1
AIG R735QTJ8XC9X,AIG,20200930,643,765648880,21051736065,10563968,18398838,0,493827192,72508312,1
BNO UN3IMQ2JU1YD,BNO,20200930,39,8288042,87717888,230500,232700,0,4546672,8048,0
EEM SNQLASP67O85,EEM,20200930,1121,419395060,18461140971,175912396,282685743,961076,312888545,32950877,1
GOOCV VP83T1ZUHROL,GOOG,20200930,2561,215694783,316341165561,9583404,5812989,1434,140765074,12183425,1
GOOG T1AZ164W5VTX,GOOGL,20200930,2783,236068494,333546648815,7831689,7609218,11926,157729719,18783016,1
IBM R735QTJ8XC9X,IBM,20200930,1927,496947347,60256545278,10596173,12966876,46773,301653878,40758566,1
IWM RV0PWMLXVHPH,IWM,20200930,1499,286696224,42730610558,142418590,306030479,155421,184285427,29591001,1
NB R735QTJ8XC9X,BAC,20200930,2024,5883589182,141310534541,124842175,157712018,1388986,4058720890,485120593,1
QQQ RIWIV7K5Z9LX,QQQ,20200930,1676,228086405,63202165608,178815074,312522269,104442,104298785,32345398,1
SPY R735QTJ8XC9X,SPY,20200930,2444,565481974,197129362599,391915330,568101920,543662,366127201,41754254,1
USO THORT68ZZSYT,USO,20200930,179,36098144,1019485278,23662538,39827196,69466,32436299,717495,1
UW R735QTJ8XC9X,WM,20200930,1319,301869588,34071844914,1703745,1793995,67896,204070459,18262914,1
